"","coef.parasites","coef.high","exp.coef.parasites","exp.coef.high","p.parasites","p.high","high.CI_low","high.CI_high","converge.issue","infection.length","arena.size","tol.diff","initial.parasites"
"1",0.1824238141436,-1.9762425169566,1.20012271509373,0.138589006028438,0.062944491545127,4.18022297522651e-05,0.0538479332862556,0.356688017901198,"no",10,2,"10x",10
"2",0.214784505986157,-1.82094134649102,1.23959474293536,0.161873300327464,0.0201458749845469,1.11126945540385e-05,0.071853641155877,0.364671364420647,"no",10,2,"10x",10
"3",0.275757912847903,-2.47133816611511,1.31752886860491,0.084471746108197,0.00359965962816645,2.74350258117777e-06,0.0300676403437812,0.237314129375753,"no",10,2,"10x",10
"4",0.329221024768253,-3.62396239111153,1.3898850206554,0.0266767630272226,0.0116656012142046,0.000370037504219703,0.00362893394647939,0.196104337005362,"no",10,2,"10x",10
"5",0.173888248875346,-2.34110530735338,1.1899225832031,0.0962212254038968,0.150093594604101,9.3653864329403e-06,0.03416446205952,0.270998682844697,"no",10,2,"10x",10
"6",0.169756477379877,-2.27056506619936,1.1850162379207,0.103253818352826,0.0578072338208862,1.73925785190826e-06,0.0407105632728367,0.261881687388787,"no",10,2,"10x",10
"7",0.263203214343614,-3.60663384209731,1.30109109246091,0.0271430610890712,0.0187610295874375,0.000386458009593348,0.00370402506556506,0.198904098175334,"no",10,2,"10x",10
"8",0.162521250922636,-2.10097902266997,1.17647331932654,0.12233659930084,0.0922720298997006,1.15163652707116e-05,0.0478481687492154,0.312786129954865,"no",10,2,"10x",10
"9",0.131394705453982,-1.7316910691215,1.14041782162348,0.176984863127048,0.215534631581654,0.000119152866376584,0.0732591038809446,0.427573367905301,"no",10,2,"10x",10
"10",0.486855534801351,-4.17425996555073,1.62719151985171,0.0153865740376685,2.30081699403914e-05,3.8091610807394e-05,0.00211091418725844,0.112153616686868,"no",10,2,"10x",10
"11",0.334186047627786,-2.22507585906396,1.39680299128474,0.108059221052542,0.00222263005632203,3.32297680315159e-06,0.0422992684345013,0.276051943370206,"no",10,2,"10x",10
"12",0.311699613509275,-2.51765843318895,1.36574438024475,0.0806482290439957,0.00435688116373708,3.29314603262736e-05,0.0245738256042471,0.264677423559508,"no",10,2,"10x",10
"13",0.2512851040588,-3.90414095223607,1.2856765836958,0.0201582639669765,0.0100637979902039,0.00011715950974121,0.00276521239435831,0.146952764638031,"no",10,2,"10x",10
"14",0.284847103611366,-3.03559743752118,1.32955872785197,0.0480459498461499,0.0121474184335575,3.1116945027784e-05,0.0115157271690838,0.200457449427609,"no",10,2,"10x",10
"15",0.235936623392635,-3.9495957134473,1.26609406687757,0.0192624877661706,0.00577587662677558,9.58801800329973e-05,0.00264764843589412,0.140140749017749,"no",10,2,"10x",10
"16",0.18455315211785,-2.05559251616008,1.20268090462321,0.128016960983143,0.0502716514464508,2.82643534875825e-06,0.0541549446496906,0.302619500497508,"no",10,2,"10x",10
"17",0.0277142097807831,-2.43344691822042,1.02810182098698,0.0877338992132862,0.789142996948344,3.870534438482e-06,0.0312355570023281,0.2464254782008,"no",10,2,"10x",10
"18",0.212825589648145,-1.9042713619946,1.23716885737009,0.148931119971179,0.0387859676625532,1.82035116562172e-05,0.0623424381048546,0.35578458543062,"no",10,2,"10x",10
"19",0.145719295640298,-3.05790238117867,1.15687140362212,0.0469861509571738,0.174751720032094,2.59171571258699e-05,0.0113035579535802,0.195310042274882,"no",10,2,"10x",10
"20",0.227479404239722,-3.33692610795417,1.25543158291993,0.0355460546943227,0.0126422016402408,3.9927182179202e-06,0.00860772891028056,0.146789242261418,"no",10,2,"10x",10
"21",0.154169547551177,-1.99870715406103,1.1666886792189,0.135510364059824,0.168780881476273,3.22353001919221e-05,0.0528101552772924,0.347718325598672,"no",10,2,"10x",10
"22",0.131335647601279,-3.84769516920027,1.1403504729845,0.0213288391953666,0.158431292700032,0.000146299549258234,0.002927263788257,0.155407716669321,"no",10,2,"10x",10
"23",0.195808379790752,-2.45649258222,1.21629381652714,0.085735133157817,0.0812979175995785,5.02600784991277e-05,0.0261476090103388,0.281116068956141,"no",10,2,"10x",10
"24",0.142789607225276,-2.26327804956962,1.15348709078496,0.104008978735762,0.130264877475031,2.07805676091436e-06,0.0408433712532507,0.264862261016103,"no",10,2,"10x",10
"25",0.359275236718788,-2.28748707592596,1.43229096639079,0.101521256789852,0.000130023706959432,1.55096979138178e-05,0.0359728132802163,0.28650985676061,"no",10,2,"10x",10
"26",0.118295757386794,-2.80627060945014,1.125576959844,0.0604299395191805,0.217667710147072,2.80922355620104e-06,0.0186772954111006,0.195519614050834,"no",10,2,"10x",10
"27",0.37879263222148,-2.31266040753771,1.46052013952224,0.0989975271405581,0.00240832649524002,0.000155862121897362,0.0298578418681496,0.328239074452333,"no",10,2,"10x",10
"28",0.46883568528436,-2.11218486153043,1.59813238051155,0.120973367425848,6.70264763260576e-05,1.02603167169488e-05,0.0473317899218453,0.309190834543,"no",10,2,"10x",10
"29",0.22260432601976,-1.62258283847979,1.24932615007673,0.197388218237096,0.0390503730358422,3.82877052716333e-05,0.0911789457201003,0.427314753324969,"no",10,2,"10x",10
"30",0.151538620715229,-1.14084752833882,1.1636232409037,0.319548080963264,0.0806547359572007,0.00116461577890743,0.160509364592095,0.636168340126453,"no",10,2,"10x",10
"31",0.2833759991959,-3.29020781021281,1.32760424611264,0.0372461084701944,0.0167864675168839,0.00128007800161739,0.00502840815371463,0.275887030997805,"no",10,2,"10x",10
"32",0.181951587286733,-2.51584199083838,1.19955611870767,0.0807948550312404,0.112147784591917,3.4835842045814e-05,0.0245487382394303,0.26591218399299,"no",10,2,"10x",10
"33",0.413115012946621,-2.76077811048864,1.51151886017519,0.063242539526055,0.00296583315902527,0.000182194470359176,0.0148968158858148,0.268488167965691,"no",10,2,"10x",10
"34",0.203767099746917,-2.34992768344048,1.22601258156209,0.0953760592346267,0.0134580602248107,8.06813197570033e-07,0.0374983344039262,0.242586579370165,"no",10,2,"10x",10
"35",0.345942531233673,-2.15243426479698,1.41332139164697,0.116200949330843,0.00157352272792012,7.86964885876287e-06,0.0452076841156733,0.298680653289823,"no",10,2,"10x",10
"36",0.152949647561025,-2.51719599819805,1.16526630346509,0.0806855322315446,0.131857863144206,1.62259552227146e-06,0.0288399416580081,0.225733990334892,"no",10,2,"10x",10
"37",0.0980553265124648,-1.64428570730884,1.10302380988091,0.193150479507253,0.391966215596583,0.000268141977625304,0.0797694744563245,0.467686517783292,"no",10,2,"10x",10
"38",0.135927378631233,-3.8516131134364,1.14559869562859,0.0212454374810972,0.223875456715876,0.000145567663250566,0.00291182114919575,0.155012478664041,"no",10,2,"10x",10
"39",0.32980134873641,-2.02679869856279,1.39069183833105,0.131756639444759,0.00117506619143737,4.2885994871721e-06,0.0555228275597007,0.312660806388332,"no",10,2,"10x",10
"40",0.248943141425481,-2.30611915556031,1.28266910025978,0.0996472174882837,0.017729854131769,1.34866244034659e-05,0.0352712198624331,0.281520400822121,"no",10,2,"10x",10
"41",0.277633172111493,-1.85883114700751,1.3200018948788,0.155854695170619,0.00203977676770108,3.22853936733156e-05,0.0648743953382707,0.374426395499627,"no",10,2,"10x",10
"42",0.145558723960154,-1.92949239347969,1.15668565775029,0.14522189535851,0.147231564766963,1.28647142030508e-05,0.0610301654208566,0.345556967543643,"no",10,2,"10x",10
"43",0.406082579233404,-2.57641037795276,1.50092649269967,0.076046492831618,0.000888370803492133,2.22911821166096e-05,0.0231167236789601,0.250168196510167,"no",10,2,"10x",10
"44",0.161195245599203,-2.72049238955147,1.17491434327593,0.0658423263698911,0.101236589407283,5.93426583226427e-06,0.0202848217345852,0.213717034269412,"no",10,2,"10x",10
"45",0.12429764248312,-2.34700515222766,1.13235285716216,0.0956552064542396,0.229839321211735,9.46197536557828e-06,0.0338574163589908,0.27024857492924,"no",10,2,"10x",10
"46",0.119046838608126,-2.64151476266605,1.12642267712313,0.0712532559975662,0.182156509503903,4.70881461874717e-07,0.0254969206004455,0.199123124310392,"no",10,2,"10x",10
"47",0.204881792409132,-3.25089594168162,1.22737997075831,0.0387394839603582,0.0198110410261215,7.25035936775317e-06,0.00936130845955376,0.160313873215368,"no",10,2,"10x",10
"48",0.271648138102447,-1.56735611850178,1.31212523320219,0.208595956935977,0.000800907707955245,1.03688481958017e-05,0.103928607610896,0.418674648398483,"no",10,2,"10x",10
"49",0.174468006496607,-1.96057049199337,1.19061264990581,0.140778085237321,0.064918118469019,1.84665413296322e-06,0.0628981796935663,0.315088121462975,"no",10,2,"10x",10
"50",0.22214143675669,-2.39119391102274,1.24874798423949,0.0915203514674851,0.0322597977375354,6.34610551994452e-06,0.032408860421222,0.258447061200808,"no",10,2,"10x",10
