"","intercept.coef","coef.high","p.intercept","p.high","infection.length","arena.size","initial.parasites","resist.diff"
"1",1.59938757658095,-0.108733200134809,2.46453637887982e-277,0.096211648187644,10,2,10,"10%"
"2",1.59938757658179,-0.0454623740778193,2.46344715340122e-277,0.479537738567592,10,2,10,"10%"
"3",1.5871923034873,-0.0676790985804669,7.19386551758281e-270,0.298241517368432,10,2,10,"10%"
"4",1.61143591509702,-0.188327580848823,6.99022379636717e-285,0.00454928269929418,10,2,10,"10%"
"5",1.60542989103667,-0.121555201575538,4.25022679200914e-281,0.0630297918435949,10,2,10,"10%"
"6",1.59127394180659,-0.114225217417914,2.38676665792266e-272,0.0822232845232908,10,2,10,"10%"
"7",1.61541998411188,-0.168501001174282,2.04464844415864e-287,0.0105442608914816,10,2,10,"10%"
"8",1.59330853050469,-0.0542930823654668,1.36341582476062e-273,0.400953637204185,10,2,10,"10%"
"9",1.66203036255331,-0.162407316119738,0,0.0114959931552536,10,2,10,"10%"
"10",1.57069708411918,-0.126133814845967,4.80675262262791e-260,0.0582923005293351,10,2,10,"10%"
"11",1.57691472072964,-0.0795263121035505,1.03471529255453e-263,0.225394766843551,10,2,10,"10%"
"12",1.63705307946713,-0.0642791514040534,1.63566513770689e-301,0.310685532613493,10,2,10,"10%"
"13",1.60943791244062,-0.0576291128423162,1.2800406025075e-283,0.369197684487733,10,2,10,"10%"
"14",1.64480505627144,-0.183867152153365,1.04846161647354e-306,0.00479986380846573,10,2,10,"10%"
"15",1.58103843791265,-0.0994338969724263,3.62025831360783e-266,0.13077985786337,10,2,10,"10%"
"16",1.56653041142308,0.0267781190812525,1.30394597061601e-257,0.676548570681733,10,2,10,"10%"
"17",1.62531126159092,-0.0798786791310277,8.63760152891731e-294,0.212254605796952,10,2,10,"10%"
"18",1.60743590976346,-0.0923086767994208,2.34132619059147e-282,0.154432693263916,10,2,10,"10%"
"19",1.57897870494992,-0.108802859847923,6.13692928930046e-265,0.0994266720820285,10,2,10,"10%"
"20",1.60743590976353,-0.125831368796666,2.34099829259178e-282,0.0543386040380935,10,2,10,"10%"
"21",1.60341984010866,-0.110515743929274,7.67629284573744e-280,0.0903811526043504,10,2,10,"10%"
"22",1.57897870495321,-0.0860746087738866,6.1304794365194e-265,0.189773908517707,10,2,10,"10%"
"23",1.64093657949363,-0.082791961446426,4.18309980080511e-304,0.192903879626228,10,2,10,"10%"
"24",1.60542989103708,-0.179914816762698,4.24872561192118e-281,0.00675543113594709,10,2,10,"10%"
"25",1.5769147207288,-0.0272268126999978,1.03518698617908e-263,0.674005340502321,10,2,10,"10%"
"26",1.62136648330021,-0.0341741798127802,3.10967149243421e-291,0.589948726609642,10,2,10,"10%"
"27",1.57069708411866,-0.018888284520502,4.80770814403108e-260,0.770642599550844,10,2,10,"10%"
"28",1.60341984010884,-0.0687054738699044,7.6749290756637e-280,0.287189500555398,10,2,10,"10%"
"29",1.61143591509714,-0.0702768434136327,6.98955158721827e-285,0.274579380022313,10,2,10,"10%"
"30",1.58514521986563,-0.124207315749522,1.23921668749461e-268,0.0602377558585285,10,2,10,"10%"
"31",1.61342993370392,-0.120525837524798,3.79025905314386e-286,0.0641506382221905,10,2,10,"10%"
"32",1.6074359097638,-0.0879227048576124,2.34036398676348e-282,0.174482705837793,10,2,10,"10%"
"33",1.63705307946718,-0.14865349539412,1.63555065496773e-301,0.0218482389864605,10,2,10,"10%"
"34",1.60943791243444,-0.0640053299758548,1.28234986506206e-283,0.319398875918905,10,2,10,"10%"
"35",1.60743590976353,-0.0641377998336389,2.34097301583191e-282,0.318899338692166,10,2,10,"10%"
"36",1.62924053973085,-0.103184236235287,2.349752503762e-296,0.108561580293676,10,2,10,"10%"
"37",1.55814461804695,-0.0299167610375587,8.98648941031405e-253,0.647248824483124,10,2,10,"10%"
"38",1.58103843791245,-0.0398793662304332,3.62115161672411e-266,0.538270864360645,10,2,10,"10%"
"39",1.61342993370456,-0.127290237613769,3.78874727148273e-286,0.0509955381703239,10,2,10,"10%"
"40",1.62334081760355,-0.150868760241444,1.64336526134569e-292,0.0208943402383824,10,2,10,"10%"
"41",1.6311994042157,-0.102971547205672,1.21667490867222e-297,0.108925090777232,10,2,10,"10%"
"42",1.66013102675006,-0.206178017140178,0,0.00153882730339349,10,2,10,"10%"
"43",1.59736533119987,-0.111225635105427,4.38345726799038e-276,0.0893570870560233,10,2,10,"10%"
"44",1.60341984010904,-0.0926979006138562,7.67380996438111e-280,0.15356890668429,10,2,10,"10%"
"45",1.59736533120037,-0.060498111599879,4.38133471786776e-276,0.349110173808887,10,2,10,"10%"
"46",1.66013102675024,-0.15827832499586,0,0.0137625340797354,10,2,10,"10%"
"47",1.6193882432874,-0.0868313751872058,5.85823684347034e-290,0.17717384821919,10,2,10,"10%"
"48",1.5892352051168,-0.0395472970884434,4.15499082256934e-271,0.539966652099672,10,2,10,"10%"
"49",1.61342993370395,-0.0983027007400739,3.79015031941286e-286,0.128842174838039,10,2,10,"10%"
"50",1.63315443905167,-0.133531392617521,6.26355965581918e-299,0.0390120532031501,10,2,10,"10%"
"51",1.60341984010861,-0.073025135011872,7.67689130068467e-280,0.258493631724668,10,2,10,"10%"
"52",1.71918877639323,-0.201866152864166,0,0.00138504878214049,10,2,10,"10%"
"53",1.63705307946928,-0.108825222460376,1.63369498588209e-301,0.0897869986631127,10,2,10,"10%"
"54",1.5432981099301,-0.0685351008205113,2.14122616870864e-244,0.302881388968183,10,2,10,"10%"
"55",1.65057985576555,-0.0654346358998059,0,0.298943214723949,10,2,10,"10%"
