"","time","avg.parasites","alive.or.dead","resistance.level","sim.num"
"275",15,13.0561797752809,"alive","Higher Infection Resistance","3"
"276",16,12.9775280898876,"alive","Higher Infection Resistance","3"
"277",17,12.8068181818182,"alive","Higher Infection Resistance","3"
"278",18,12.6363636363636,"alive","Higher Infection Resistance","3"
"279",19,12.5287356321839,"alive","Higher Infection Resistance","3"
"280",20,12.4712643678161,"alive","Higher Infection Resistance","3"
"311",1,18.59,"alive","Higher Clearance","3"
"312",2,16.7448979591837,"alive","Higher Clearance","3"
"313",3,14.8367346938776,"alive","Higher Clearance","3"
"314",4,13.2268041237113,"alive","Higher Clearance","3"
"315",5,11.8659793814433,"alive","Higher Clearance","3"
"316",6,10.639175257732,"alive","Higher Clearance","3"
"317",7,9.64948453608247,"alive","Higher Clearance","3"
"318",8,8.74736842105263,"alive","Higher Clearance","3"
"319",9,7.78947368421053,"alive","Higher Clearance","3"
"320",10,7.04210526315789,"alive","Higher Clearance","3"
"321",11,6.36842105263158,"alive","Higher Clearance","3"
"322",12,5.73684210526316,"alive","Higher Clearance","3"
"323",13,5.21276595744681,"alive","Higher Clearance","3"
"324",14,4.74468085106383,"alive","Higher Clearance","3"
"325",15,4.23655913978495,"alive","Higher Clearance","3"
"326",16,3.82795698924731,"alive","Higher Clearance","3"
"327",17,3.48387096774194,"alive","Higher Clearance","3"
"328",18,3.04301075268817,"alive","Higher Clearance","3"
"329",19,2.68817204301075,"alive","Higher Clearance","3"
"330",20,2.37634408602151,"alive","Higher Clearance","3"
"389",1,15.11,"alive","Higher Infection Resistance","4"
"390",2,15,"alive","Higher Infection Resistance","4"
"391",3,14.86,"alive","Higher Infection Resistance","4"
"392",4,14.6565656565657,"alive","Higher Infection Resistance","4"
"393",5,14.5510204081633,"alive","Higher Infection Resistance","4"
"394",6,14.3917525773196,"alive","Higher Infection Resistance","4"
"395",7,14.2395833333333,"alive","Higher Infection Resistance","4"
"396",8,14.1458333333333,"alive","Higher Infection Resistance","4"
"397",9,13.9578947368421,"alive","Higher Infection Resistance","4"
"398",10,13.8936170212766,"alive","Higher Infection Resistance","4"
"399",11,13.7765957446809,"alive","Higher Infection Resistance","4"
"400",12,13.6702127659574,"alive","Higher Infection Resistance","4"
"401",13,13.5591397849462,"alive","Higher Infection Resistance","4"
"402",14,13.3655913978495,"alive","Higher Infection Resistance","4"
"403",15,13.2258064516129,"alive","Higher Infection Resistance","4"
"404",16,13.0752688172043,"alive","Higher Infection Resistance","4"
"405",17,12.9784946236559,"alive","Higher Infection Resistance","4"
"406",18,12.8064516129032,"alive","Higher Infection Resistance","4"
"407",19,12.7204301075269,"alive","Higher Infection Resistance","4"
"408",20,12.5161290322581,"alive","Higher Infection Resistance","4"
"439",1,18.53,"alive","Higher Clearance","4"
"440",2,16.6734693877551,"alive","Higher Clearance","4"
"441",3,14.9795918367347,"alive","Higher Clearance","4"
"442",4,13.4948453608247,"alive","Higher Clearance","4"
"443",5,12.2371134020619,"alive","Higher Clearance","4"
"444",6,11.0721649484536,"alive","Higher Clearance","4"
"445",7,10.1030927835052,"alive","Higher Clearance","4"
"446",8,9.05154639175258,"alive","Higher Clearance","4"
"447",9,8.2680412371134,"alive","Higher Clearance","4"
"448",10,7.48421052631579,"alive","Higher Clearance","4"
"449",11,6.63829787234043,"alive","Higher Clearance","4"
"450",12,6.02127659574468,"alive","Higher Clearance","4"
"451",13,5.54255319148936,"alive","Higher Clearance","4"
"452",14,5.02127659574468,"alive","Higher Clearance","4"
"453",15,4.5,"alive","Higher Clearance","4"
"454",16,4.07446808510638,"alive","Higher Clearance","4"
"455",17,3.62765957446809,"alive","Higher Clearance","4"
"456",18,3.31914893617021,"alive","Higher Clearance","4"
"457",19,2.93617021276596,"alive","Higher Clearance","4"
"458",20,2.56989247311828,"alive","Higher Clearance","4"
"512",1,14.66,"alive","Higher Infection Resistance","5"
"513",2,14.5353535353535,"alive","Higher Infection Resistance","5"
"514",3,14.3877551020408,"alive","Higher Infection Resistance","5"
"515",4,14.3298969072165,"alive","Higher Infection Resistance","5"
"516",5,14.1958762886598,"alive","Higher Infection Resistance","5"
"517",6,14.020618556701,"alive","Higher Infection Resistance","5"
"518",7,13.8736842105263,"alive","Higher Infection Resistance","5"
"519",8,13.6808510638298,"alive","Higher Infection Resistance","5"
"520",9,13.4782608695652,"alive","Higher Infection Resistance","5"
"521",10,13.2527472527473,"alive","Higher Infection Resistance","5"
"522",11,13.0888888888889,"alive","Higher Infection Resistance","5"
"523",12,12.9659090909091,"alive","Higher Infection Resistance","5"
"524",13,12.8505747126437,"alive","Higher Infection Resistance","5"
"525",14,12.6860465116279,"alive","Higher Infection Resistance","5"
"526",15,12.593023255814,"alive","Higher Infection Resistance","5"
"527",16,12.5232558139535,"alive","Higher Infection Resistance","5"
"528",17,12.3294117647059,"alive","Higher Infection Resistance","5"
"529",18,12.1428571428571,"alive","Higher Infection Resistance","5"
"530",19,11.9880952380952,"alive","Higher Infection Resistance","5"
"531",20,11.9756097560976,"alive","Higher Infection Resistance","5"
"562",1,18.82,"alive","Higher Clearance","5"
"563",2,16.8484848484848,"alive","Higher Clearance","5"
"564",3,15.265306122449,"alive","Higher Clearance","5"
"565",4,13.7835051546392,"alive","Higher Clearance","5"
"566",5,12.4536082474227,"alive","Higher Clearance","5"
"567",6,11,"alive","Higher Clearance","5"
"568",7,9.88421052631579,"alive","Higher Clearance","5"
"569",8,8.97894736842105,"alive","Higher Clearance","5"
"570",9,8.09574468085106,"alive","Higher Clearance","5"
"571",10,7.45744680851064,"alive","Higher Clearance","5"
"572",11,6.61290322580645,"alive","Higher Clearance","5"
"573",12,5.92307692307692,"alive","Higher Clearance","5"
"574",13,5.2967032967033,"alive","Higher Clearance","5"
"575",14,4.81318681318681,"alive","Higher Clearance","5"
"576",15,4.3956043956044,"alive","Higher Clearance","5"
"577",16,3.86813186813187,"alive","Higher Clearance","5"
"578",17,3.41758241758242,"alive","Higher Clearance","5"
"579",18,3.15384615384615,"alive","Higher Clearance","5"
"580",19,2.86813186813187,"alive","Higher Clearance","5"
"581",20,2.59340659340659,"alive","Higher Clearance","5"
"644",1,14.48,"alive","Higher Infection Resistance","6"
"645",2,14.1666666666667,"alive","Higher Infection Resistance","6"
"646",3,14.0104166666667,"alive","Higher Infection Resistance","6"
"647",4,13.9893617021277,"alive","Higher Infection Resistance","6"
"648",5,13.8387096774194,"alive","Higher Infection Resistance","6"
"649",6,13.6989247311828,"alive","Higher Infection Resistance","6"
"650",7,13.5217391304348,"alive","Higher Infection Resistance","6"
"651",8,13.3406593406593,"alive","Higher Infection Resistance","6"
"652",9,13.2087912087912,"alive","Higher Infection Resistance","6"
"653",10,13.043956043956,"alive","Higher Infection Resistance","6"
"654",11,12.8888888888889,"alive","Higher Infection Resistance","6"
"655",12,12.752808988764,"alive","Higher Infection Resistance","6"
"656",13,12.625,"alive","Higher Infection Resistance","6"
"657",14,12.4942528735632,"alive","Higher Infection Resistance","6"
"658",15,12.3488372093023,"alive","Higher Infection Resistance","6"
"659",16,12.2325581395349,"alive","Higher Infection Resistance","6"
"660",17,12.1176470588235,"alive","Higher Infection Resistance","6"
"661",18,11.9166666666667,"alive","Higher Infection Resistance","6"
"662",19,11.7857142857143,"alive","Higher Infection Resistance","6"
"663",20,11.6785714285714,"alive","Higher Infection Resistance","6"
"694",1,17.99,"alive","Higher Clearance","6"
"695",2,16.1818181818182,"alive","Higher Clearance","6"
"696",3,14.5858585858586,"alive","Higher Clearance","6"
"697",4,13.1515151515152,"alive","Higher Clearance","6"
"698",5,11.7040816326531,"alive","Higher Clearance","6"
"699",6,10.4183673469388,"alive","Higher Clearance","6"
"700",7,9.31958762886598,"alive","Higher Clearance","6"
"701",8,8.50515463917526,"alive","Higher Clearance","6"
"702",9,7.64948453608247,"alive","Higher Clearance","6"
"703",10,6.9468085106383,"alive","Higher Clearance","6"
"704",11,6.18279569892473,"alive","Higher Clearance","6"
"705",12,5.55913978494624,"alive","Higher Clearance","6"
"706",13,5.0752688172043,"alive","Higher Clearance","6"
"707",14,4.44086021505376,"alive","Higher Clearance","6"
"708",15,4.08602150537634,"alive","Higher Clearance","6"
"709",16,3.67741935483871,"alive","Higher Clearance","6"
"710",17,3.2258064516129,"alive","Higher Clearance","6"
"711",18,2.91397849462366,"alive","Higher Clearance","6"
"712",19,2.64516129032258,"alive","Higher Clearance","6"
"713",20,2.36559139784946,"alive","Higher Clearance","6"
"774",1,15.15,"alive","Higher Infection Resistance","7"
"775",2,14.9292929292929,"alive","Higher Infection Resistance","7"
"776",3,14.765306122449,"alive","Higher Infection Resistance","7"
"777",4,14.6734693877551,"alive","Higher Infection Resistance","7"
"778",5,14.4432989690722,"alive","Higher Infection Resistance","7"
"779",6,14.2989690721649,"alive","Higher Infection Resistance","7"
